Attribute,,,TFIDF
expect,6,13,16.40020805
expectations,2,2,9.210340372
expected,5,6,17.53278949
expense,2,1,10.59663473
expensive,11,10,32.95305501
experience,27,25,56.14492163
experienced,4,4,15.64809202
expert,1,1,5.298317367
extensive,1,1,5.298317367
extent,1,2,4.605170186
extents,1,1,5.298317367
external,2,2,9.210340372
extra,8,8,25.7510066
eye,3,4,11.73606902
eyes,2,2,9.210340372
f,1,186,0.072570693
face,3,12,8.44023215
faced,8,7,26.81925774
faces,1,1,5.298317367
facility,1,1,5.298317367
facing,5,5,18.44439727
factor,1,4,3.912023005
factors,1,1,5.298317367
factory,1,2,4.605170186
fade,1,2,4.605170186
faded,1,1,5.298317367
failed,1,1,5.298317367
failure,1,1,5.298317367
fair,1,1,5.298317367
faith,1,1,5.298317367
fake,2,2,9.210340372
fall,2,5,7.377758908
fallen,1,1,5.298317367
falling,1,1,5.298317367
falls,2,2,9.210340372
family,3,2,13.81551056
fan,2,7,6.704814435
fantastic,7,5,25.82215618
farsightedness,1,1,5.298317367
fast,11,50,15.24923797
faster,3,3,12.59911523
fastest,3,3,12.59911523
father,2,2,9.210340372
fault,1,5,3.688879454
faulty,2,1,10.59663473
feat,1,33,1.801809805
feature,11,32,20.1583961
featureless,1,1,5.298317367
features,25,23,54.07057877
February,1,1,5.298317367
feedbacks,1,1,5.298317367
feel,19,27,38.04712951
feeling,2,2,9.210340372
feels,10,10,29.95732274
feet,3,3,12.59911523
fell,3,3,12.59911523
felt,3,3,12.59911523
few,4,4,15.64809202
ff,1,22,2.207274913
fig,1,5,3.688879454
fight,1,1,5.298317367
figure,3,3,12.59911523
files,1,1,5.298317367
fill,1,2,4.605170186
filling,1,1,5.298317367
final,2,6,7.013115795
find,9,9,27.9098351
fine,14,16,35.36020102
finest,1,1,5.298317367
finger,4,15,10.36106866
fingerprint,9,8,28.96988242
fingers,4,4,15.64809202
finish,2,4,7.824046011
finished,1,1,5.298317367
finishing,2,2,9.210340372
fir,1,19,2.353878387
first,15,18,36.11918413
firstly,1,3,4.199705078
fit,3,5,11.06663836
fits,1,2,4.605170186
fix,6,7,20.1144433
fixed,2,2,9.210340372
fixing,1,1,5.298317367
flagship,19,18,45.75096656
flagships,5,4,19.56011503
flash,3,3,12.59911523
flawless,1,1,5.298317367
flaws,2,2,9.210340372
flexible,1,1,5.298317367
flies,1,1,5.298317367
flip,2,1,10.59663473
floor,1,1,5.298317367
flow,1,1,5.298317367
flush,1,1,5.298317367
FM,2,2,9.210340372
focus,5,4,19.56011503
focusing,2,2,9.210340372
folder,2,1,10.59663473
folders,1,1,5.298317367
follow,1,1,5.298317367
font,1,1,5.298317367
fooling,1,1,5.298317367
forced,1,1,5.298317367
foremost,1,1,5.298317367
forget,4,5,14.75551782
form,1,45,1.491654877
fortune,1,1,5.298317367
found,4,4,15.64809202
fps,2,2,9.210340372
fragile,1,1,5.298317367
frame,1,1,5.298317367
free,10,12,28.13410717
freedom,1,1,5.298317367
frequency,1,1,5.298317367
frequent,1,2,4.605170186
friendly,1,2,4.605170186
friends,6,5,22.13327672
front,19,17,46.83697643
ft,1,45,1.491654877
full,14,20,32.2361913
fun,1,9,3.101092789
function,2,5,7.377758908
functionality,2,2,9.210340372
functioning,1,1,5.298317367
functions,1,1,5.298317367
funny,1,1,5.298317367
future,3,3,12.59911523
g,8,197,0.120909102
gadgets,1,1,5.298317367
galaxy,4,4,15.64809202
gallery,2,1,10.59663473
game,1,15,2.590267165
gamer,3,3,12.59911523
games,11,11,31.90464303
gaming,5,5,18.44439727
gave,4,4,15.64809202
GB,40,32,73.30325855
general,2,2,9.210340372
generations,1,1,5.298317367
genuine,4,4,15.64809202
gesture,1,3,4.199705078
gestures,2,2,9.210340372
get,38,59,46.38963706
gets,9,11,26.10379884
getting,13,10,38.94451956
gift,1,2,4.605170186
gifted,1,1,5.298317367
gigs,3,3,12.59911523
give,13,26,26.52287077
given,8,8,25.7510066
gives,6,6,21.03934738
giving,10,9,31.01092789
glad,1,1,5.298317367
glass,17,10,50.92744865
glasses,1,1,5.298317367
glitches,1,1,5.298317367
globe,1,1,5.298317367
